Concepto,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Departamento,Origen
Tasa Global de Participación (TGP),58.602724288,62.180833108,67.469194701,69.831254844,70.097606654,71.888833919,69.777867976,65.935211074,66.421807067,66.239121094,63.029017895,65.711222312,60.769784848,54.591859234,54.582586572,54.453632461,62.030886815,59.53463509,Santander,CentrosP
Tasa de Ocupación (TO),55.364951896,59.724622336,65.273142948,67.236722605,68.464110812,70.316808153,67.61441529,64.182162182,64.235745507,64.200190577,61.278968044,64.394673969,57.9614016,51.732406334,49.427334574,49.060998685,56.44544348,54.294429663,Santander,CentrosP
Tasa de Desocupación (TD),5.524952008,3.950109141,3.254895456,3.715431213,2.330316141,2.186745395,3.100485511,2.658744643,3.291180497,3.07813643,2.776578012,2.00353653,4.62134802,5.237874182,9.444865701,9.903166295,9.004293862,8.801944312,Santander,CentrosP
Tasa de Subocupación (TS),3.643618744,2.231664893,4.624268312,5.368303595,4.517757434,5.715186003,6.407537386,4.382198782,4.742387517,6.22203206,4.444995875,4.681381395,6.351867648,0.0,7.899923356,10.708225481,3.75540186,1.832000473,Santander,CentrosP
Población total,537.849,536.399,534.971,533.586,532.096,530.475,528.803,527.149,525.726,525.22,525.664,529.08,533.176,535.346,533.846,530.607,527.072,523.972,Santander,CentrosP
Población en edad de trabajar (PET),374.197,376.026,377.915,379.863,381.721,383.364,384.763,385.987,387.164,388.777,390.862,394.833,397.987,399.985,399.619,398.141,396.494,396.11,Santander,CentrosP
Fuerza de trabajo  ,219.29,233.816,254.976,265.26309999999995,267.57728499999996,275.595909,268.479418,254.501343,257.16132500000003,257.522468,246.35648,259.44959,241.85584400000002,218.35924799999998,218.122,216.802,245.949,235.823,Santander,CentrosP
Población ocupada,207.174,224.58,246.677,255.407432,261.341888,269.569328,260.155253,247.734802,248.69768200000001,249.59557500000003,239.5162,254.25142300000002,230.678843,206.921865,197.521,195.332,223.803,215.066,Santander,CentrosP
Población desocupada,12.116,9.236,8.299,9.855668,6.235397,6.026581,8.324165,6.766541,8.463643,7.926893,6.84028,5.198167000000001,11.177,11.437383,20.601,21.47,22.146,20.757,Santander,CentrosP
Población fuera de la fuerza de trabajo,154.907,142.21,122.939,114.59989999999999,114.143715,107.768091,116.283582,131.485657,130.002675,131.254532,144.50552,135.38341,156.13115599999998,181.625752,181.497,181.339,150.545,160.287,Santander,CentrosP
Población subocupada,7.99,5.218,11.791,14.240129000000001,12.088493,15.750819,17.202919,11.152754999999999,12.195587,16.023131,10.950535,12.145825,15.362363,0.0,17.232,23.216,9.236,4.32,Santander,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.054,17.199,5.122,3.786,Santander,CentrosP
% población en edad de trabajar ,67.077700543,67.431059796,67.77126892,68.097173122,68.421681456,68.760152982,69.132256399,69.531014755,69.958466781,70.400538312,70.830830466,71.21731069,71.370114294,71.54865031,71.760475049,72.000397112,72.246647238,72.349230813,Sucre,CentrosP
Tasa Global de Participación (TGP),54.745463247,49.624931975,54.481430361,57.212637437,55.661504653,60.923283673,60.909249369,61.743730461,59.891440646,63.341886132,62.299801837,64.087617316,63.610033316,58.994986501,57.184393631,56.247942146,54.743858041,56.426810322,Sucre,CentrosP
Tasa de Ocupación (TO),49.49892727,45.739943872,50.792496824,52.255604773,51.465678861,56.97668604,56.965308582,57.852120341,55.877079604,58.590924174,58.352429366,60.415866332,58.666057821,53.294963302,52.345525375,51.592591956,49.292049057,50.152987708,Sucre,CentrosP
Tasa de Desocupación (TD),9.583508232,7.828702122,6.770992452,8.664226797,7.538110617,6.477979182,6.475109821,6.302842558,6.702729135,7.500505982,6.336091535,5.729267427,7.772320243,9.661877284,8.461868613,8.276480903,9.958759172,11.118513662,Sucre,CentrosP
Tasa de Subocupación (TS),8.183689375,3.07416234,5.832415579,5.903565323,7.174356156,10.631276271,11.541958851,10.472148804,11.981405343,12.59964197,12.100861781,7.865093536,9.759394074,0.0,8.150821327,12.004059887,13.298234595,12.31900282,Sucre,CentrosP
Población total,297.218,300.369,303.518,306.628,309.684,312.716,315.773,318.816,321.911,325.462,329.622,335.469,347.263,357.86,365.941,372.691,379.165,385.407,Sucre,CentrosP
Población en edad de trabajar (PET),199.367,202.542,205.698,208.805,211.891,215.024,218.301,221.676,225.204,229.127,233.474,238.912,247.842,256.044,262.601,268.339,273.934,278.839,Sucre,CentrosP
Fuerza de trabajo  ,109.144,100.511,112.067,119.462848,117.94171899999999,130.999681,132.9655,136.871032,134.87792000000002,145.133363,145.45383900000002,153.113008,157.652379,151.053123,150.167,150.935,149.962,157.34,Sucre,CentrosP
Población ocupada,98.685,92.643,104.479,109.112316,109.05114200000001,122.513549,124.355838,128.244266,125.837418,134.247627,136.237751,144.340755,145.39913099999998,136.45855600000002,137.46,138.443,135.028,139.846,Sucre,CentrosP
Población desocupada,10.46,7.869,7.588,10.350532,8.890576999999999,8.486132,8.609662,8.626766,9.040502,10.885736999999999,9.216088,8.772254,12.253248,14.594567,12.707,12.492,14.934,17.494,Sucre,CentrosP
Población fuera de la fuerza de trabajo,90.223,102.031,93.631,89.342152,93.949281,84.024319,85.3355,84.80496799999999,90.32608,83.993637,88.02016099999999,85.798992,90.189621,104.990877,112.434,117.404,123.972,121.499,Sucre,CentrosP
Población subocupada,8.932,3.09,6.536,7.052567,8.461559,13.926938,15.346823,14.333338,16.16027,18.286284,17.601168,12.042481,15.385917,0.0,12.24,18.118,19.942,19.383,Sucre,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887,5.408,15.925,10.642,Sucre,CentrosP
% población en edad de trabajar ,67.67188979,68.165893788,68.66686373,69.171728264,69.676834515,70.198264893,70.742825248,71.299080948,71.873225357,72.453631748,73.014755895,73.575325677,73.724380922,73.902782762,74.136652302,74.374934191,74.6262635,74.953513691,Tolima,CentrosP
Tasa Global de Participación (TGP),61.798530516,68.5026816,66.083001494,68.95995065,73.634099881,71.970543316,69.092273726,69.304501017,70.232052039,71.350907177,69.369627773,64.8244747,62.471359404,58.224925704,54.550776783,57.746810835,59.320157672,54.606570407,Tolima,CentrosP
Tasa de Ocupación (TO),56.760352113,61.128374047,59.616820201,62.322970311,62.895592741,67.627264794,65.914488954,65.98423316,65.66667125,67.417147557,65.234954169,59.115584693,54.852190893,50.015034127,47.974463059,51.301905876,56.050873691,50.809805319,Tolima,CentrosP
Tasa de Desocupación (TD),8.152586091,10.764991064,9.78493886,9.62439833,14.583606179,6.034800242,4.599334486,4.790840145,6.500423463,5.513258032,5.960351434,8.806689192,12.196258547,14.100304084,12.055398862,11.160624917,5.51125302,6.952945515,Tolima,CentrosP
Tasa de Subocupación (TS),8.201441034,9.371279188,8.16157871,13.293735459,13.670728973,9.218805472,6.626373463,6.396285234,5.663685033,7.179919942,8.390455494,9.632840359,9.572145401,0.0,5.056898014,6.594563703,7.400146105,4.735014999,Tolima,CentrosP
Población total,445.838,442.717,439.79,437.115,434.638,432.25,429.98,427.941,426.142,424.644,423.424,422.658,421.756,420.769,419.327,417.876,416.403,415.176,Tolima,CentrosP
Población en edad de trabajar (PET),301.707,301.782,301.99,302.36,302.842,303.432,304.18,305.118,306.282,307.67,309.162,310.972,310.937,310.96,310.875,310.795,310.746,311.189,Tolima,CentrosP
Fuerza de trabajo  ,186.45,206.729,199.564,208.507307,222.994981,218.381659,210.164878,211.460507,215.10813399999998,219.525336,214.464529,201.585965,194.246571,181.056229,169.585,179.474,184.335,169.93,Tolima,CentrosP
Población ocupada,171.25,184.474,180.037,188.43973300000002,190.47427100000002,205.20276199999998,200.498692,201.329773,201.125194,207.422338,201.681689,183.832916,170.555757,155.52675,149.141,159.444,174.176,158.115,Tolima,CentrosP
Población desocupada,15.201,22.254,19.527,20.067574,32.52071,13.178897000000001,9.666186,10.130735000000001,13.982940000000001,12.102998,12.78284,17.753049,23.690814,25.529479,20.444,20.03,10.159,11.815,Tolima,CentrosP
Población fuera de la fuerza de trabajo,115.257,95.053,102.426,93.852693,79.847019,85.050341,94.015122,93.657493,91.17386599999999,88.144664,94.69747100000001,109.386035,116.69042900000001,129.903771,141.29,131.321,126.411,141.259,Tolima,CentrosP
Población subocupada,15.292,19.373,16.288,27.71841,30.485039,20.13218,13.926309999999999,13.525617,12.183047,15.761743000000001,17.994550999999998,19.418454,18.593563999999997,0.0,8.576,11.836,13.641,8.046,Tolima,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.641,22.703,12.494,8.749,Tolima,CentrosP
% población en edad de trabajar ,69.076567002,69.465429946,69.838785681,70.201205931,70.554515188,70.901177123,71.240572619,71.575381833,71.911779311,72.233653337,72.521216825,72.807778685,73.114944495,73.452649071,73.796453816,74.18388064,74.588321476,74.845652167,Valle del Cauca,CentrosP
Tasa Global de Participación (TGP),66.567011391,63.616445526,68.255469135,70.667855711,67.498948119,68.206966625,66.528966714,62.851634788,63.027425842,61.279299541,60.769209511,60.119193641,58.285326199,55.275261249,59.291016271,61.925863892,64.747546361,60.312992429,Valle del Cauca,CentrosP
Tasa de Ocupación (TO),61.643416658,56.191805057,61.951434608,64.192401352,61.075401924,61.584766285,61.057081946,57.88103321,56.424274001,56.602907512,55.328241948,54.797932245,51.921717176,47.652537838,47.57936371,53.763438567,57.888184307,53.367577686,Valle del Cauca,CentrosP
Tasa de Desocupación (TD),7.396448526,11.67094516,9.235940515,9.163224628,9.516513034,9.708979402,8.224815503,7.908468243,10.476632598,7.631275267,8.953494058,8.851185575,10.918029355,13.79047921,19.752828165,13.180963192,10.594010799,11.515619543,Valle del Cauca,CentrosP
Tasa de Subocupación (TS),8.153078661,8.696877184,13.056648775,15.045324305,12.838473922,13.175451331,10.931611615,11.490375133,12.816825543,11.535375633,9.917908278,12.73935366,8.55438614,0.0,6.973370376,7.409690176,9.57829972,8.908757746,Valle del Cauca,CentrosP
Población total,635.13,638.139,640.886,643.818,646.673,649.04,650.764,652.445,654.495,657.076,659.618,666.128,666.426,665.573,663.643,660.994,657.977,655.338,Valle del Cauca,CentrosP
Población en edad de trabajar (PET),438.726,443.286,447.587,451.968,456.257,460.177,463.608,466.99,470.659,474.63,478.363,484.993,487.257,488.881,489.745,490.351,490.774,490.492,Valle del Cauca,CentrosP
Fuerza de trabajo  ,292.047,282.003,305.503,319.396094,307.96867599999996,313.872773,308.43361200000004,293.510849,296.644252,290.849939,290.697414,291.573881,283.999332,270.23025,290.375,303.654,317.764,295.83,Valle del Cauca,CentrosP
Población ocupada,270.446,249.09,277.287,290.129113,278.660797,283.39893,283.065516,270.298637,265.565924,268.65438,264.66983799999997,265.766136,252.992201,232.964204,233.018,263.63,284.1,261.764,Valle del Cauca,CentrosP
Población desocupada,21.601,32.912,28.216,29.266982,29.307879,30.473843000000002,25.368096,23.212212,31.078328000000003,22.195559,26.027576,25.807745,31.00713,37.266046,57.357,40.025,33.664,34.067,Valle del Cauca,CentrosP
Población fuera de la fuerza de trabajo,146.679,161.283,142.084,132.57190599999998,148.288324,146.30422700000003,155.174388,173.479151,174.014748,183.780061,187.66558600000002,193.419119,203.257668,218.65075,199.37,186.697,173.01,194.662,Valle del Cauca,CentrosP
Población subocupada,23.811,24.525,39.888,48.054178,39.538478000000005,41.354154,33.716765,33.725498,38.020376,33.550633000000005,28.831103,37.144628,24.294399000000002,0.0,20.249,22.5,30.436,26.355,Valle del Cauca,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.212,19.728,32.117,29.897,Valle del Cauca,CentrosP
% población en edad de trabajar ,73.691472751,74.320949062,74.95198674,75.580685289,76.192837832,76.781066709,77.335646108,77.853819731,78.329177459,78.750512604,79.118272265,79.402176015,79.702967955,79.994709214,80.302885989,80.592017579,80.853625893,81.166764712,Antioquia,Mujeres
Tasa Global de Participación (TGP),47.258735562,47.502585755,51.81475929,52.749331423,51.66442641,53.468347964,53.430562234,52.081502754,49.728590228,48.865646866,49.441171452,47.87251898,47.010122308,45.111981147,44.284517992,50.206292609,51.83957437,51.788500704,Antioquia,Mujeres
Tasa de Ocupación (TO),40.224179039,39.870363496,43.229544544,44.470937884,44.393893687,45.439889656,46.277630849,45.505222956,43.386855121,41.821956142,41.947366006,40.505468467,39.145449707,34.619930499,36.684527541,43.657389911,45.802254656,45.588440654,Antioquia,Mujeres
Tasa de Desocupación (TD),14.885198342,16.066961697,16.569052648,15.693835951,14.072609004,15.015347611,13.387340663,12.626901013,12.752694331,14.414401887,15.157014337,15.388892564,16.729742903,23.25779179,17.161732352,13.043987831,11.646159884,11.971885584,Antioquia,Mujeres
Tasa de Subocupación (TS),8.110836122,8.902344817,11.941985521,12.236465703,10.913005142,10.67435437,10.036082567,8.432146777,8.878958455,9.414020344,9.184793165,8.459067606,9.498500734,0.0,5.926586955,6.860921343,5.980406304,6.917296608,Antioquia,Mujeres
Población total,2896.749,2930.303,2964.806,3000.076,3034.612,3068.035,3101.037,3134.527,3169.409,3209.108,3253.045,3310.272,3382.396,3447.503,3502.648,3556.44,3611.894,3664.831,Antioquia,Mujeres
Población en edad de trabajar (PET),2134.657,2177.829,2222.181,2267.478,2312.157,2355.67,2398.207,2440.349,2482.572,2527.189,2573.753,2628.428,2695.87,2757.82,2812.727,2866.207,2920.348,2974.624,Antioquia,Mujeres
Fuerza de trabajo  ,1008.811907,1034.525088,1151.417736,1196.0794850000002,1194.562652,1259.537832,1281.375484,1270.970432,1234.548057,1234.9272520000002,1272.4936329999998,1258.294693,1267.331784,1244.1072379999998,1245.603,1439.016,1513.896,1540.513,Antioquia,Mujeres
Población ocupada,858.648254,868.308339,960.638725,1008.368733,1026.45652,1070.413849,1109.833382,1110.486253,1077.109917,1056.919875,1079.621591,1064.6570749999998,1055.310435,954.755367,1031.836,1251.311,1337.585,1356.085,Antioquia,Mujeres
Población desocupada,150.16365299999998,166.21675,190.779011,187.710752,168.106131,189.123984,171.542101,160.484178,157.43814,178.00737700000002,192.872042,193.63761799999997,212.021349,289.35187099999996,213.767,187.705,176.311,184.429,Antioquia,Mujeres
Población fuera de la fuerza de trabajo,1125.8450930000001,1143.303912,1070.763264,1071.3985149999999,1117.594348,1096.132168,1116.831516,1169.3785679999999,1248.023943,1292.261748,1301.259367,1370.133307,1428.538216,1513.712762,1567.125,1427.191,1406.452,1434.111,Antioquia,Mujeres
Población subocupada,81.823081,92.09699099999999,137.502139,146.357856,130.362684,134.447532,128.59990200000001,107.17009200000001,109.615009,116.256303,116.875908,106.439999,120.377519,0.0,73.822,98.73,90.537,106.562,Antioquia,Mujeres
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.866,151.487,154.308,116.074,Antioquia,Mujeres
% población en edad de trabajar ,71.64359132,71.997660996,72.345890411,72.686674657,73.028244377,73.379892969,73.746004707,74.128639819,74.526990278,74.921834037,75.29820476,75.659925847,75.909110754,76.151314374,76.430989054,76.699946187,76.97617479,77.418987007,Atlántico,Mujeres
Tasa Global de Participación (TGP),46.68353525,43.514522128,45.257793069,47.438066818,49.029259984,49.88063552,50.468403638,50.04861574,52.957641517,53.507829157,51.419831289,51.575754176,50.819118512,44.22818748,48.138274959,54.33826331,54.29426264,51.307164011,Atlántico,Mujeres
Tasa de Ocupación (TO),39.060977307,37.158109711,38.793792642,40.937527541,43.147737676,43.912296637,44.815544659,44.410178135,46.463938821,47.465302366,45.516188744,45.573778416,45.297718443,37.163634504,38.984258996,46.0766094,47.141726419,44.427905385,Atlántico,Mujeres
Tasa de Desocupación (TD),16.328150604,14.607565719,14.282624029,13.703212868,11.995943465,11.965242265,11.200788158,11.265921187,12.262069289,11.29279002,11.481256156,11.637204063,10.864808817,15.972965158,19.016086411,15.204118437,13.173650167,13.407988453,Atlántico,Mujeres
Tasa de Subocupación (TS),8.595561079,6.460150342,5.506373447,6.979306507,10.48387058,10.36373033,7.7464285,8.616240835,11.872306538,11.531383699,10.649466709,11.184859289,11.881260978,0.0,12.656825361,14.147986418,12.051521993,10.227307734,Atlántico,Mujeres
Población total,1119.232,1133.816,1148.144,1162.169,1175.526,1188.44,1201.101,1213.419,1226.349,1243.508,1264.232,1299.199,1351.403,1394.58,1420.323,1437.07,1452.579,1467.478,Atlántico,Mujeres
Población en edad de trabajar (PET),801.858,816.321,830.635,844.742,858.466,872.076,885.764,899.491,913.961,931.659,951.944,982.973,1025.838,1061.991,1085.567,1102.232,1118.14,1136.107,Atlántico,Mujeres
Fuerza de trabajo  ,374.335662,355.21818199999996,375.927069,400.729274,420.899527,434.997051,447.030951,450.182794,484.01219,498.510506,489.487999,506.97573800000004,521.321829,469.699371,522.573,598.934,607.086,582.904,Atlántico,Mujeres
Población ocupada,313.213571,303.329453,322.23482,345.816489,370.408658,382.9486,396.959961,399.465555,424.66228,442.214761,433.288628,447.977937,464.68120899999997,394.674454,423.2,507.871,527.11,504.748,Atlántico,Mujeres
Población desocupada,61.122091,51.888729,53.69225,54.91278500000001,50.490868999999996,52.048451,50.070989999999995,50.717239,59.34991,56.295745000000004,56.199371,58.997801,56.640620000000006,75.024917,99.373,91.063,79.975,78.156,Atlántico,Mujeres
Población fuera de la fuerza de trabajo,427.522338,461.102818,454.707931,444.01272600000004,437.566473,437.078949,438.733049,449.308206,429.94881,433.148494,462.456001,475.997262,504.516171,592.291629,562.994,503.298,511.054,553.203,Atlántico,Mujeres
Población subocupada,32.17625,22.947629,20.699948,27.968124,44.126562,45.081921,34.628932999999996,38.788834,57.463411,57.485159,52.127860999999996,56.704523,61.939607,0.0,66.141,84.737,73.163,59.615,Atlántico,Mujeres
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.768,102.656,122.568,108.397,Atlántico,Mujeres
% población en edad de trabajar ,69.307862288,69.748569414,70.118101643,70.503543291,70.877109144,71.253287038,71.636943804,72.025168462,72.413411276,72.788538965,73.120186511,73.412857634,73.665950922,73.90419045,74.164580473,74.41315673,74.663246778,75.026107784,Bolívar,Mujeres
Tasa Global de Participación (TGP),45.499178378,36.315464192,38.080318688,41.482867654,46.812202635,50.513284755,49.463063341,50.621990316,52.00458673,50.30372872,51.377550769,51.84444828,51.39039489,47.170621239,51.076200337,50.640036729,50.705581755,43.083476631,Bolívar,Mujeres
Tasa de Ocupación (TO),37.473800825,30.132330635,31.573178404,35.675419646,40.720906694,44.582527022,43.80461926,45.688372031,46.53696719,45.226241664,46.660443661,47.245826913,47.749752479,40.016145366,41.025593752,42.023899047,43.289475942,36.118948481,Bolívar,Mujeres
Tasa de Desocupación (TD),17.638510934,17.026172446,17.087935468,13.999630056,13.012196816,11.740986082,11.43973644,9.74599824,10.513725584,10.093659429,9.181261149,8.870036271,7.08428573,15.167228426,19.677670851,17.014477552,14.625817428,16.165195325,Bolívar,Mujeres
Tasa de Subocupación (TS),8.15194705,6.744199278,11.118004733,9.747060486,8.003605034,7.017492027,7.845102077,8.286682381,7.065141908,5.632658371,5.670603496,8.808049285,7.698634222,0.0,13.03216154,13.529124927,10.808287822,7.566392054,Bolívar,Mujeres
Población total,933.138,941.572,952.908,962.241,970.951,979.225,987.175,994.737,1002.44,1012.125,1023.426,1041.778,1072.543,1098.617,1115.435,1127.555,1138.828,1149.801,Bolívar,Mujeres
Población en edad de trabajar (PET),646.738,656.733,668.161,678.414,688.182,697.73,707.182,716.461,725.901,736.711,748.331,764.799,790.099,811.924,827.258,839.049,850.286,862.651,Bolívar,Mujeres
Fuerza de trabajo  ,294.26047600000004,238.495637,254.437838,281.425582,322.153152,352.446342,349.793881,362.686818,377.501815,370.593103,384.47413900000004,396.50582199999997,406.034996,382.98959499999995,422.532,424.895,431.143,371.66,Bolívar,Mujeres
Población ocupada,242.35730999999998,197.888959,210.959665,242.027041,280.23395,311.065666,309.77838299999996,327.33936700000004,337.81231,333.186697,349.17456500000003,361.335612,377.270317,324.900688,339.387,352.601,368.084,311.58,Bolívar,Mujeres
Población desocupada,51.903166,40.606679,43.478173999999996,39.398540000000004,41.919202,41.380676,40.015498,35.347451,39.689505,37.406406000000004,35.299575,35.17021,28.764679,58.088907,83.144,72.294,63.058,60.08,Bolívar,Mujeres
Población fuera de la fuerza de trabajo,352.47752399999996,418.237363,413.723162,396.988418,366.028848,345.283658,357.388119,353.774182,348.399185,366.11789699999997,363.856861,368.293178,384.064004,428.934405,404.726,414.154,419.144,490.991,Bolívar,Mujeres
Población subocupada,23.987958,16.084621,28.288411,27.430722000000003,25.783866000000003,24.732894,27.441687,30.054705000000002,26.671039,20.874243,21.802004,34.924428,31.259149,0.0,55.065,57.485,46.599,28.121,Bolívar,Mujeres
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.597,72.196,69.821,45.844,Bolívar,Mujeres
% población en edad de trabajar ,73.878798826,74.333449959,74.787189754,75.224591151,75.631596799,76.015888945,76.368860719,76.688134092,76.969874068,77.221653911,77.447780679,77.632837497,77.753280689,77.886933462,78.036368093,78.200882988,78.370939664,78.591018134,Boyacá,Mujeres
Tasa Global de Participación (TGP),50.129432248,55.764249213,48.155227971,48.942583523,51.747425219,52.629022008,51.204766127,54.596524162,57.98929834,52.319604902,53.089897137,53.227183966,47.855921463,40.347386102,39.006186478,49.493106842,48.35190624,46.613116327,Boyacá,Mujeres
Tasa de Ocupación (TO),42.916985459,50.756995722,42.552396958,43.013138986,46.587359677,47.961762183,46.133295309,49.63790042,53.720194159,47.847709104,48.155630639,47.970775779,42.494339988,33.880238602,33.617904773,42.759232519,42.141421381,42.087646416,Boyacá,Mujeres
Tasa de Desocupación (TD),14.387649062,8.979325575,11.634938197,12.11510327,9.971637276,8.868224503,9.904294466,9.082306644,7.361882802,8.547265994,9.294172269,9.875420406,11.203590509,16.02866536,13.813915666,13.60568118,12.844343361,9.708576186,Boyacá,Mujeres
Tasa de Subocupación (TS),6.789515671,5.575489448,5.796356172,8.065738474,7.163391334,8.140336357,8.084376305,5.869988412,6.321012764,7.199023425,7.317396743,7.797456051,7.476868013,0.0,6.520308103,8.132540476,8.840951616,8.872193773,Boyacá,Mujeres
Población total,586.826,588.778,590.902,593.189,595.554,597.9,600.335,602.929,605.724,609.017,612.8,617.879,624.564,630.496,635.085,639.08,643.032,647.089,Boyacá,Mujeres
Población en edad de trabajar (PET),433.54,437.659,441.919,446.224,450.427,454.499,458.469,462.375,466.225,470.293,474.6,479.677,485.619,491.074,495.597,499.766,503.95,508.554,Boyacá,Mujeres
Fuerza de trabajo  ,217.331141,244.057255,212.80710200000001,218.393554,233.084375,239.198379,234.757979,252.44067900000002,270.360606,246.055439,251.964652,255.31855900000002,232.397447,198.13552299999998,193.314,247.35,243.67,237.053,Boyacá,Mujeres
Población ocupada,186.062299,222.14256,188.04712700000002,191.934949,209.84204699999998,217.98573000000002,211.506858,229.513242,250.456975,225.024427,228.54662299999998,230.10477799999998,206.360589,166.37704300000001,166.609,213.696,212.372,214.038,Boyacá,Mujeres
Población desocupada,31.268842,21.914696,24.759974999999997,26.458605,23.242328,21.212649000000003,23.251122,22.927437,19.903631,21.031012999999998,23.418028999999997,25.213780999999997,26.036858,31.75848,26.704,33.654,31.298,23.014,Boyacá,Mujeres
Población fuera de la fuerza de trabajo,216.208859,193.601745,229.111898,227.830446,217.342625,215.300621,223.71102100000002,209.93432099999998,195.864394,224.237561,222.635348,224.358441,253.22155300000003,292.93847700000003,302.284,252.416,260.281,271.501,Boyacá,Mujeres
Población subocupada,14.755732,13.607387000000001,12.335058,17.615053,16.696745999999997,19.471553,18.978718,14.818239,17.089527999999998,17.713589,18.437253000000002,19.908352,17.37605,0.0,12.605,20.116,21.543,21.032,Boyacá,Mujeres
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.377,43.157,42.122,24.187,Boyacá,Mujeres
% población en edad de trabajar ,76.44320023,77.042162623,77.624929815,78.18526859,78.716222236,79.214675861,79.680630263,80.116233512,80.516253901,80.867734031,81.172124292,81.401041798,81.512272063,81.613132824,81.73850372,81.85218386,81.96466494,82.250062445,Caldas,Mujeres
Tasa Global de Participación (TGP),40.886270872,40.624554948,42.064242868,43.894191024,40.216229426,41.63306126,41.086595468,41.850114998,43.225710105,41.921208223,42.819678898,43.734750224,42.382922986,42.2177651,40.362026912,44.188376387,43.038259052,42.881166361,Caldas,Mujeres
Tasa de Ocupación (TO),34.015382887,34.263679513,34.929769,35.729342586,34.26625784,36.426822494,35.616187947,36.992628144,38.28929356,36.891646033,37.368677251,37.478827981,36.016395877,32.070828549,33.892361018,37.318992613,38.090436037,38.01009074,Caldas,Mujeres
Tasa de Desocupación (TD),16.804878114,15.657711064,16.960899285,18.60120496,14.794951368,12.50505874,13.314336363,11.606866206,11.420093581,11.99765561,12.730132004,14.304236817,15.021444159,24.034755338,16.029090679,15.545680415,11.496336339,11.359475579,Caldas,Mujeres
Tasa de Subocupación (TS),7.453060986,6.920155081,8.164154448,10.116125362,9.172515095,6.548469753,6.366268742,6.221236662,5.300727051,5.041881715,6.331470953,5.745672135,6.161528066,0.0,4.902977576,4.991774676,5.292037257,3.951973149,Caldas,Mujeres
Población total,507.951,506.681,505.804,505.342,505.103,504.938,504.932,505.362,506.34,508.105,510.509,514.303,519.88,525.462,530.487,535.463,540.889,546.146,Caldas,Mujeres
Población en edad de trabajar (PET),388.294,390.358,392.63,395.103,397.598,399.985,402.333,404.877,407.686,410.893,414.391,418.648,423.766,428.846,433.612,438.288,443.338,449.205,Caldas,Mujeres
Fuerza de trabajo  ,158.758937,158.58120000000002,165.156837,173.427266,159.898924,166.526,165.304932,169.44149,176.225168,172.25131,177.440896,183.094657,179.60441699999998,181.049197,175.015,193.672,190.805,192.624,Caldas,Mujeres
Población ocupada,132.079691,133.751014,137.144752,141.167704,136.24195600000002,145.701826,143.29567699999998,149.774643,156.100089,151.58519099999998,154.85243499999999,156.90436400000002,152.62524,137.53446499999998,146.961,163.565,168.869,170.743,Caldas,Mujeres
Población desocupada,26.679246,24.830186,28.012085,32.259561000000005,23.656968,20.824174,22.009255,19.666847,20.125079000000003,20.666119,22.588459999999998,26.190293,26.979177,43.514732,28.053,30.108,21.936,21.881,Caldas,Mujeres
Población fuera de la fuerza de trabajo,229.535063,231.77679999999998,227.473163,221.675734,237.699076,233.459,237.028068,235.43551000000002,231.46083199999998,238.64169,236.95010399999998,235.55334299999998,244.161583,247.796803,258.597,244.616,252.533,256.581,Caldas,Mujeres
Población subocupada,11.8324,10.974065000000001,13.483659,17.54412,14.666753,10.904905000000001,10.523755999999999,10.541356,9.341215,8.684707,11.234619,10.520019,11.066377000000001,0.0,8.581,9.668,10.097,7.612,Caldas,Mujeres
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.524,24.656,24.054,19.536,Caldas,Mujeres
% población en edad de trabajar ,64.551813112,65.052772126,65.541013825,66.019234494,66.484457564,66.934777992,67.380624675,67.820085185,68.261007285,68.704821882,69.13346336,69.638428865,70.093150357,70.545730192,71.00599026,71.456199126,71.896156196,72.597409796,Caquetá,Mujeres
